Change Footprint: Footprint Not Found RPI-PICO-MOD
Change Component Comment : Designator=J1 Old Comment=282834-5 New Comment=MIDI IN
Change Component Comment : Designator=C1 Old Comment=C320C104K5R5TA New Comment=0.1uF
Change component parameters: Designator = "R1" ("R1"); Footprint = "RES_AC03_VIS"; UniqueID = "\QZEAUQOD\SSICICFR" ("\QZEAUQOD\SSICICFR")
Added Pin To Net: NetName=NetD1_2 Pin=U2-3
Added Net: Name=NetD1_2
Added Pin To Net: NetName=NetJ1_4 Pin=J1-4
Added Pin To Net: NetName=NetJ1_4 Pin=R1-1
Added Net: Name=NetJ1_4
Added Pin To Net: NetName=NetJ2_4 Pin=J2-4
Added Pin To Net: NetName=NetJ2_4 Pin=R4-1
Added Net: Name=NetJ2_4
Added Pin To Net: NetName=NetJ2_5 Pin=J2-5
Added Pin To Net: NetName=NetJ2_5 Pin=R5-1
Added Net: Name=NetJ2_5
Added Pin To Net: NetName=NetR3_2 Pin=R3-2
Added Pin To Net: NetName=NetR3_2 Pin=U2-7
Added Net: Name=NetR3_2
Added Pin To Net: NetName=NetR5_2 Pin=R5-2
Added Pin To Net: NetName=NetR5_2 Pin=U3-4
Added Net: Name=NetR5_2
Added Pin To Net: NetName=NetU3_2 Pin=U3-2
Added Pin To Net: NetName=NetU3_2 Pin=U3-3
Added Net: Name=NetU3_2
Added Member To Class: ClassName=MIDI Member=Component J2 MIDI OUT
Added Member To Class: ClassName=MIDI Member=Component R2 AC03000005009JAC00
Added Member To Class: ClassName=MIDI Member=Component R3 AC03000005009JAC00
Added Member To Class: ClassName=MIDI Member=Component R4 AC03000005009JAC00
Added Member To Class: ClassName=MIDI Member=Component R5 AC03000005009JAC00
Added Member To Class: ClassName=MIDI Member=Component U3 SN74HC04N
